"final_category","narrative_1","synopsis","assessments","events","events_6","phase","component","component_4","person_1_8"
"OTHER","Air carrier Captain reported receiving a low altitude alert from ATC during approach. Flight crew leveled off then continued approach.","We were kept fast and led us to be high on the approach. FO called for gear and speed brakes to get down and capture RNAV brick. We were instructed to hold 180 to ZZZZZ. At ZZZZZ; FO asked for Managed speed and full flaps but we were too fast so I suggested more speed brake. He used used them and dove to 900' (the next restriction at ZZZZZ1 ); leveled off to bleed off speed and get flaps full. ATC reported a low altitude alert and I responded we were level. We continued uneventfully for a stable 500' approach and landing.","Procedure; Airspace Structure","ATC Issue All Types; Deviation - Speed All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach","","Final Approach","","",""
"OTHER","Air carrier Captain reported an aggressive sounding call from ATC during the takeoff roll; nearly causing an unnecessary rejected takeoff.","Filed and cleared takeoff Rwy XX climb via the SID to FL240.  Ground ops normal.  Take Runway XX and after 60 seconds cleared for takeoff.  At 60 kias on takeoff roll; Tower aggressively calls 'Aircraft X amend altitude to 15;000'.  On their initial call; I thought they were calling for us to abort the takeoff as there was a helicopter next to the runway around Taxiway 1.  We continued and FO read back our amended clearance.","Procedure","ATC Issue All Types; Conflict Ground Conflict; Critical","Flight Crew Became Reoriented","Takeoff / Launch","","","Communication Breakdown; Distraction"
"OTHER","SCT Controller reported SNA Tower has closed four times due to evacuation. Reporter stated lack of established procedures to manage the traffic and confusion over airspace status created an unsafe environment.","SNA Tower evacuated and we went ATC 0. I work SCT TRACON and not having a Tower to a busy airport feels unsafe. The 7110 has some procedures for this but it's not meant for the middle of the day and busy; so we improvised. Arrival sector Tustin had CTAF on speaker to listen to when the aircraft would land. We would take that as cancellation of IFR. Then the next arrival could go in. The departures I'm not sure what grey legal measures were used. This operation has happened at least 4 times and its unsafe. There's no good procedures for it. Also management thinks SNA is still a class C. During all this we (the TRACON) conducted a Runway change; again without a Tower. Once we had turned the airport around one aircraft got away from us and departed opposite direction from everyone else. At the same time its not the aircraft's fault since its an uncontrolled airport. We need better procedures for this. We need clarification on canceling IFR vs landing. What would the spacing for departures be? Is a temporary non-towered airport still class C?","Procedure; ATC Equipment / Nav Facility / Buildings; Company Policy; Manuals","ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Ground Event / Encounter Other / Unknown","Air Traffic Control Provided Assistance","","","","Training / Qualification; Workload; Confusion; Situational Awareness"
"OTHER","Air carrier Dispatcher reported a flight in international airspace was unable to communicate with ATC on the published frequencies. The Dispatcher conferred with ATC who provided alternate frequencies and the flight resumed contact with ATC.","I was notified ACARS that a flight was NORDO with CENAMER Control. I contacted the crew with the appropriate frequencies from FD Pro and they advised me that those were what they were using and still couldn't make contact. I proceeded to call the Center and talked to a Controller who stated have them call on frequency and they will make contact. The crew also stated that there was a significant amount of time that they could not log on to CPDLC. The flight was unable to contact CENAMER from LIXAS to 30nm S of SETRI on UL207 according to the conversation we had via SATCOM.Cause: Possible reliance on CPDLC for clearances and routing when logon may not be possible. This is the first time I have heard of or been made aware of a communication lapse in the CENAMER FIR.Suggestions: NOTAM or verbal awareness by the controller of communication procedures within the FIR on initial contact.","Human Factors; Software and Automation; Chart Or Publication","ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy","Air Traffic Control Issued Advisory / Alert; Flight Crew Overcame Equipment Problem","Cruise","Communication Systems","Improperly Operated","Communication Breakdown"
"OTHER","Air carrier flight crew departing FWA reported an NMAC with a light aircraft that apparently was not equipped with ADS-B.","In our climb from 5;500' to 10;000. ATC gave a traffic alert to our 1 o'clock of VFR traffic at 6;500'. As we scanned for the traffic; we got the traffic in sight crossing from right to left and we were climbing into their flight path. I took action by leveling off the airplane and stopping the climb until the traffic was clear. Once the traffic was clear; I continued the climb and returned to our climb profile. The TCAS system did not show or give an RA or TA of the intruding VFR traffic. I believe the VFR traffic did not have reporting equipment for our system to detect.Cause: The event was caused because the weather was VFR and our equipment could not pick up the traffic and the ATC traffic alert was delayed; reducing our situational awareness on the VFR traffic.Suggestions: I believe maintaining the VFR scan outside of the cockpit while under 10;000' for VFR traffic would help avoid an this event from happening again. Additionally; I think all aircraft should have ADSB-out at the minimum.","Human Factors","ATC Issue All Types; Conflict NMAC","Flight Crew Took Evasive Action","Climb","","","Situational Awareness"
"OTHER","Air carrier flight crew reported First Officer descended below assigned altitude on approach resulting in a low altitude alert from ATC.","While on approach on flight ABCC; ATC had cleared us to 3000 ft as we were on a right downwind parallel of the RNAV Y XXR final approach course. The conditions on the flight were VFR. Then ATC had cleared us down to 2;500 ft as we made a turn to intercept the final approach course. Though; I had mistaken the ATC directive as 2000 ft and had set the ALT window at 2000ft already; which is 300 ft lower than the FAF. Soon followed an advisory by ATC about a low altitude warning. The CA tried to raise the plane's nose via TCS (Touch Control Steering) and to aid the plane back to its proper altitude. As he tried to correct my actions; we were delayed in configuring the plane for landing and the speed was too fast. At this point we had concurred that the aircraft would not meet the stabilized approach criteria and elected to perform a go-around procedure above 1;000 ft AGL since we were at 1;200 ft AGL when we made the decision. we performed that go-around procedure and reattempted that same approach which concluded in a successful 2nd attempt. Suggestions: Verify proper procedures and loudly verbalize the altitude selection. Review plate and the FAF altitude.","Human Factors","Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach","Air Traffic Control Provided Assistance; Air Traffic Control Issued Advisory / Alert; Air Traffic Control Issued New Clearance; Flight Crew Executed Go Around / Missed Approach; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Became Reoriented; Flight Crew FLC complied w / Automation / Advisory; General Flight Cancelled / Delayed","Initial Approach","","","Human-Machine Interface; Communication Breakdown; Situational Awareness"
"OTHER","Flight Instructor on final approach reported a NMAC with an aircraft on base leg for the same runway.","This event happened on short final while doing traffic patterns with my student (pre solo); doing right traffic for runway XXR. On an extended right downwind for XXR; I received a base-turn approved; and an option clearance for XXR; and read it back. A Glassair aircraft then made a call that he was inbound to land. ZZZ tower then switched me to XXL; and the Glassair made an inaudible readback. Neither I nor my student read back the runway change call. A few minutes later we got a traffic advisory from ATC of a Maule on right base for XXR. Thinking we were still cleared for the option XXR; we read back that we had the traffic in sight; mistaking an aircraft on left base for XXL as the aircraft we were notified about. Between a half mile and a mile of the runway; my student pointed out an aircraft to our right. I immediately took the controls and performed a go-around. In the moment of seeing the aircraft; it was slightly below and starting its turn from base to final for XXR. The closing rate between the conflicting aircraft and I was very quick; and it looked to be within 2-3 fuselage lengths away. given the size of the aircraft within the windshield of my aircraft; I'd say it was within 100 feet horizontally and about 50 feet below; just at the 2 o'clock position of my aircraft. After performing a go-around; ZZZ Tower switched me to runway XXL and I terminated the flight. I reached out to ZZZ tower after the flight concluded; and also reviewed the audio transcript from the flight. My understanding is that the controller was being trained and under the supervision of another controller. This being said; I think that this is an example of many small things occurring in just the right way to lead to a potentially dangerous situation. The factors I believe had the biggest impact on this event were: I missed the switch to XXL; I believe the Glassair read back the landing clearance; although it wasn't very legible from the transcript; ATC didn't ask for a clear readback of the option clearance; and we confused the traffic advisory landing on the right runway for an aircraft landing on the left runway.","Human Factors; Environment - Non Weather Related; Procedure","ATC Issue All Types; Conflict NMAC; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance","Flight Crew Executed Go Around / Missed Approach; Flight Crew Requested ATC Assistance / Clarification; Flight Crew Took Evasive Action","Final Approach","","","Confusion; Communication Breakdown; Situational Awareness; Workload; Training / Qualification"
"OTHER","Air carrier flight crew reported receiving a low altitude alert from LAX Tower on final approach; even though they felt they were at a safe altitude.","On approach as PF; armed and captured the LOC but failed to arm the APP; so wound up high after FUMBL.  Turned autopilot off to facilitate returning to glide path.  VASI in sight; four white lights; Tower calls and says 'Low altitude alert.'  That caused some distraction; but we were stable by 1000' AGL.  Got a little low on final but never had lower than 3 reds on the VASI.  Landed and taxied to the gate without incident.Cause: Unusual arrival and approach into LAX increased the workload but frankly no excuse for not arming the APP.  Simply a mistake.","Human Factors","Inflight Event / Encounter CFTT / CFIT; Inflight Event / Encounter Unstabilized Approach","Air Traffic Control Issued Advisory / Alert; Flight Crew Became Reoriented","Final Approach","","","Situational Awareness"
"OTHER","Air carrier pilot reported an airborne conflict with a UAS during initial climb.","During takeoff and initial climb out at around 150 feet aircraft altitude; I looked to my left and saw a drone at my 10 o'clock position. It appeared to be at about 300 feet. It was a large drone I would say about 4 feet in diameter and multiple propellers. It was hovering at about 200 feet. The distance from us was about 1500 feet to my left. Close enough that; first I could see it. Second I was able to tell it was multi propeller driven.The FAA needs to get a hold on this or we are going to have a catastrophic event happen to a commercial aircraft not to mention the damage that would happen on the ground. This worries me quite a bit. An event would be devastating. I don't see any urgency by the FAA to mitigate this issue.","Airspace Structure; Human Factors","Airspace Violation All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS); Deviation / Discrepancy - Procedural Published Material / Policy; Inflight Event / Encounter Other / Unknown","Flight Crew Requested ATC Assistance / Clarification","Takeoff / Launch; Initial Climb","","","Situational Awareness"
"OTHER","Air carrier Captain reported the First Officer saw a UAS near the aircraft during final approach. No evasive action was taken and the flight continued without incident.","Event occurred at approximately XA20Z on Day 0. ORD ILS 27C; Near the BOOWW intersection; at approximately 6;500 feet MSL. First Officer spotted a large commercial drone quad-copter; with red and purple lights; approximately 300 feet vertically below our aircraft; and 60 feet laterally to the right of our aircraft. No evasive maneuvers were required. Flight continued normally after encounter.","Human Factors","Airspace Violation All Types; Conflict NMAC; Deviation / Discrepancy - Procedural FAR; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Unauthorized Flight Operations (UAS)","Flight Crew Requested ATC Assistance / Clarification","Final Approach","","",""
"OTHER","C172 and PA28-181 flight instructors reported the C172 started takeoff run while the PA28 was on short final resulted in an NMAC requiring evasive action.","Instructional flight with student to demonstrate non-towered airfield operations to ZZZ. Runway XX pattern. Entered the pattern and landed on runway XX without incident. When holding short of runway XX; I gave the call to indicate we were holding short and asking if there was any incoming landing traffic. One aircraft reported they had begun their downwind to base turn. Interpreting that we would have enough time to take off ahead of the aircraft turning base; I directed the student to take runway XX for takeoff. However; the traffic that had reported base was much closer than expected; virtually short final. Having already taken the runway and begun rolling; we continued the takeoff in order to clear the runway as soon as possible; but the landing aircraft was already close enough that they instead conducted a go-around to avoid us maintain clearance. We then departed the pattern to the southeast. In retrospect; I should have allowed for some variance in traffic position reporting and timing; and continued to hold short of the runway to allow the traffic on base to continue and land before I took the runway to take off. This would have allowed adequate spacing for both ourselves and the landing traffic; and would have resulted in an uneventful takeoff. An additional human factor includes time pressure; as I wanted my student to have the time to perform multiple laps in the pattern to build confidence in non-towered airfield pattern procedures and landings. I should have been aware of how this time pressure could have influenced my perception of aircraft spacing in the traffic pattern and how it would have influenced my decision to take the runway despite not having a fully accurate picture of the positions of traffic in the pattern.","Human Factors; Airport; Procedure","Conflict NMAC","Flight Crew Took Evasive Action","Takeoff / Launch","","","Communication Breakdown; Situational Awareness"
"OTHER","A TRACON Controller reported an aircraft on approach overshot a crossing restriction and descended below the Minimum Vectoring Altitude.","Aircraft X was descending out of FL220 to 080 with no speed or crossing restrictions; for the RNAV Z RWY 3 Approach. They had been held up high by ZAB center for crossing traffic and had approximately 24 miles to descend all the way down to 080. I asked twice if they wanted a turn to help them get down; they declined. Everything up to this point was no big deal; all parties involved made it work. They had a clearance to cross BIBQU at 8000ft along with the approach clearance. Good readback. Immediately upon crossing BIBQU the aircraft descended to 070 very quickly. The next crossing fix is MRMIK at 7200 so the aircraft was below the minimum to be established on the approach as well as below the MVA. I issued the low altitude alert; and the crew stated they were established and all was well. They landed without incident; I just wanted to report and see what the crew said was happening during the event; maybe there's something I could have done better.","Chart Or Publication; Human Factors; Airspace Structure; Procedure","ATC Issue All Types; Deviation - Altitude Crossing Restriction Not Met; Deviation - Altitude Overshoot; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter CFTT / CFIT","Air Traffic Control Issued Advisory / Alert; Air Traffic Control Provided Assistance; Flight Crew Became Reoriented; Flight Crew Requested ATC Assistance / Clarification","Final Approach","","","Workload"
"OTHER","Air carrier flight crew reported an ATC loss of separation while following an aircraft on a visual approach. ATC directed a go around and the flight returned to land.","Approach initially cleared us to land ILS 8R got handed off to Tower around FAF and Tower switched us to land 8L. Within 3nm of landing Tower then switches back to 8R. We told him unable and we then were then cleared to land 8L still. Once Tower noticed separation was not going to work we were then told to go around due to departing traffic that was cleared to takeoff last minute.The casual factors in this event were that there were way to many last minute runway changes. I would recommend that we should've stuck with the primary runway first assigned to us and if separation is an issue then for ATC to issue the go around sooner.","Procedure; Human Factors","ATC Issue All Types; Conflict Ground Conflict; Critical; Conflict Airborne Conflict","Air Traffic Control Separated Traffic; Flight Crew Executed Go Around / Missed Approach","Initial Approach","","","Communication Breakdown; Situational Awareness"
